Ticker,Operacao,Nr Cotas,Data da Operacao,Preco Unitario,Preco Total,Taxa da B3,Taxa da CBLC,Outras Despesas,Preco Final,Subscricao
MGFF11,COMPRA,20,17/02/2020,"114,49","2.289,80","0,08","0,63",,"2.290,51",
IRDM11,COMPRA,10,20/02/2020,"119,40","1.194,00","0,04","0,33",,"1.194,37",
MGFF11,COMPRA,15,20/02/2020,"110,50","1.657,50","0,05","0,45",,"1.658,00",
HGRE11,COMPRA,20,26/02/2020,"177,62","3.552,40","0,12","0,98",,"3.553,50",
LVBI11,COMPRA,20,26/02/2020,"125,00","2.500,00","0,09","0,69",,"2.500,78",
MGFF11,COMPRA,10,26/02/2020,"108,65","1.086,50","0,04","0,30",,"1.086,84",
MGFF11,COMPRA,15,26/02/2020,"108,82","1.632,30","0,05","0,45",,"1.632,80",
SAAG11,COMPRA,16,26/02/2020,"131,00","2.096,00","0,07","0,58",,"2.096,65",
SAAG11,COMPRA,4,26/02/2020,"130,99","523,96","0,02","0,14",,"524,13",
HGRE11,COMPRA,30,27/02/2020,"176,29","5.288,70","0,18","1,45",,"5.290,33",
SAAG11,COMPRA,30,27/02/2020,"130,40","3.912,00","0,13","1,08",,"3.913,21",
HGCR11,COMPRA,15,28/02/2020,"113,56","1.703,40","0,06","0,47",,"1.703,93",
HGLG11,COMPRA,30,28/02/2020,"179,60","5.388,00","0,19","1,48",,"5.389,67",
HGRE11,COMPRA,30,28/02/2020,"177,64","5.329,20","0,18","1,46",,"5.330,84",
IRDM11,COMPRA,15,28/02/2020,"120,65","1.809,75","0,05","0,50",,"1.810,30",
IRDM11,COMPRA,4,28/02/2020,"120,70","482,80","0,02","0,13",,"482,95",
IRDM11,COMPRA,1,28/02/2020,"120,64","120,64","0,01","0,03",,"120,68",
IRDM11,COMPRA,18,21/02/2020,"101,35","1.824,30","0,00","0,00",,"1.824,30",SUBSCRIÇÃO
HFOF11,COMPRA,11,18/02/2020,"112,96","1.242,56","0,00","0,00",,"1.242,56",SUBSCRIÇÃO
