Ticker;Operacao;Cotas;Data;Preco_Unitario;Preco_Total;Taxa_B3;Taxa_CBLC;Outras_Despesas;Preco_Final;Subscricao
HSAF11;COMPRA;15;29/08/2023;"86,1";"1.291,50";"0,07";"0,32";0;"1.291,89";
HSAF11;COMPRA;10;23/08/2023;"86,44";"864,4";"0,05";"0,21";0;"864,66";
BARI11;COMPRA;10;23/08/2023;"86,5";865;"0,05";"0,22";0;"865,27";
BARI11;COMPRA;10;09/08/2023;"87,7";877;"0,04";"0,21";0;"877,25";
HCTR11;VENDA;-120;31/07/2023;"54,11";"-6.493,20";"0,32";"1,56";"0,27";"-6.491,05";
HCTR11;COMPRA;20;31/07/2023;"54,15";"1.083,00";"0,05";"0,26";0;"1.083,31";
HSAF11;COMPRA;60;31/07/2023;"88,35";"5.301,00";"0,26";"1,27";0;"5.302,53";
BARI11;COMPRA;40;31/07/2023;"89,1";"3.564,00";"0,18";"0,85";0;"3.565,03";
NCHB11;COMPRA;135;28/07/2023;"9,36";"1.263,00";"0,06";"0,31";0;"1.263,37";
VINO11;COMPRA;145;21/07/2023;"9,3";"1.348,50";"0,07";"0,34";0;"1.348,91";
NCHB11;COMPRA;99;21/07/2023;"9,41";"931,15";"0,05";"0,23";0;"931,43";
MFII11;COMPRA;13;21/07/2023;"93,95";"1.221,35";"0,06";"0,3";0;"1.221,71";
RBED11;COMPRA;17;27/04/2023;"119,99";"2.039,83";"0,11";"0,5";0;"2.040,44";
NCHB11;COMPRA;90;25/04/2023;"8,56";770;"0,03";"0,19";0;"770,22";
CVBI11;COMPRA;10;10/04/2023;"87,67";"876,7";"0,06";"0,21";0;"876,97";
MFII11;COMPRA;10;10/04/2023;"87,74";"877,4";"0,06";"0,22";0;"877,68";
VGHF11;COMPRA;150;03/04/2023;"8,81";"1.321,50";"0,06";"0,33";0;"1.321,89";
RZTR11;COMPRA;10;03/04/2023;"82,5";825;"0,04";"0,21";0;"825,25";
MFII11;COMPRA;10;03/04/2023;"90,3";903;"0,04";"0,23";0;"903,27";
BRCO11;COMPRA;10;23/03/2023;"90,15";"901,5";"0,04";"0,22";0;"901,76";
RZTR11;COMPRA;10;01/03/2023;"83,15";"831,5";"0,04";"0,21";0;"831,75";
HGBS11;COMPRA;20;01/03/2023;"177,46";"3.549,20";"0,17";"0,88";0;"3.550,25";
TGAR11;COMPRA;20;28/02/2023;"113,2";"2.264,00";"0,15";"0,56";0;"2.264,71";
BRCO11;COMPRA;25;27/02/2023;"92,7";"2.317,50";"0,11";"0,57";0;"2.318,18";
CPTI11;COMPRA;10;24/02/2023;"95,35";"953,5";"0,04";"0,23";0;"953,77";
BTLG11;COMPRA;25;23/02/2023;"91,97";"2.299,25";"0,11";"0,57";0;"2.299,93";
NCHB11;COMPRA;90;23/02/2023;"9,24";832;"0,04";"0,21";0;"832,25";
BRCO11;COMPRA;15;22/02/2023;"93,05";"1.395,75";"0,07";"0,34";0;"1.396,16";
NCHB11;COMPRA;90;22/02/2023;"9,31";838;"0,04";"0,21";0;"838,25";
RZTR11;COMPRA;15;10/02/2023;81;"1.215,00";"0,06";"0,3";0;"1.215,36";
NCHB11;COMPRA;135;10/02/2023;"9,28";"1.252,50";"0,06";"0,31";0;"1.252,87";
NCHB11;COMPRA;90;07/02/2023;"9,6";"864,3";"0,04";"0,21";0;"864,55";
LVBI11;COMPRA;15;19/01/2023;"94,5";"1.417,50";"0,07";"0,35";0;"1.417,92";
MCCI11;COMPRA;20;17/01/2023;"89,05";"1.781,00";"0,08";"0,44";0;"1.781,52";
PVBI11;COMPRA;10;09/01/2023;87;870;"0,04";"0,22";0;"870,26";
HGBS11;COMPRA;5;09/01/2023;"180,45";"902,25";"0,04";"0,22";0;"902,51";
NCHB11;COMPRA;81;20/12/2022;"9,42";"763,2";"0,03";"0,19";0;"763,42";
RZAT11;COMPRA;10;19/12/2022;86;860;"0,04";"0,21";0;"860,25";
RZTR11;COMPRA;10;15/12/2022;"93,4";934;"0,04";"0,23";0;"934,27";
NCHB11;COMPRA;90;15/12/2022;"9,72";"874,5";"0,04";"0,22";0;"874,76";
BTLG11;COMPRA;10;15/12/2022;"96,2";962;"0,05";"0,24";0;"962,29";
RZAT11;COMPRA;10;14/12/2022;"89,7";897;"0,04";"0,22";0;"897,26";
MFII11;COMPRA;10;14/12/2022;"92,5";925;"0,05";"0,23";0;"925,28";
PVBI11;COMPRA;10;13/12/2022;"90,55";"905,5";"0,04";"0,22";0;"905,76";
NCHB11;COMPRA;90;12/12/2022;"10,03";903;"0,04";"0,22";0;"903,26";
MFII11;COMPRA;10;12/12/2022;"93,4";934;"0,05";"0,23";0;"934,28";
MFII11;COMPRA;10;08/12/2022;"93,5";935;"0,04";"0,23";0;"935,27";
BRCO11;COMPRA;10;08/12/2022;"99,9";999;"0,05";"0,25";0;"999,3";
CPTI11;COMPRA;10;06/12/2022;"98,5";985;"0,05";"0,25";0;"985,3";
RZTR11;COMPRA;10;06/12/2022;"97,55";"975,5";"0,04";"0,24";0;"975,78";
PVBI11;COMPRA;10;05/12/2022;"90,5";905;"0,04";"0,22";0;"905,26";
CVBI11;COMPRA;15;30/11/2022;"87,75";"1.316,25";"0,06";"0,33";0;"1.316,64";
BTLG11;COMPRA;15;23/03/2023;"97,95";"1.469,25";"0,07";"0,36";0;"1.469,68";
NCHB11;COMPRA;90;21/11/2022;"10,13";"911,6";"0,04";"0,22";0;"911,86";
RECR11;COMPRA;10;17/11/2022;"85,5";855;"0,04";"0,21";0;"855,25";
CVBI11;COMPRA;10;17/11/2022;"87,95";"879,5";"0,04";"0,22";0;"879,76";
MCCI11;COMPRA;10;17/11/2022;"94,3";943;"0,05";"0,24";0;"943,29";
BTLG11;COMPRA;10;17/11/2022;"98,8";988;"0,05";"0,25";0;"988,3";
RZAT11;COMPRA;20;17/11/2022;"93,25";"1.865,00";"0,09";"0,47";0;"1.865,56";
PVBI11;COMPRA;10;17/11/2022;"93,1";931;"0,05";"0,23";0;"931,28";
HGBS11;COMPRA;10;17/11/2022;191;"1.910,00";"0,09";"0,48";0;"1.910,57";
PVBI11;COMPRA;10;16/11/2022;"95,5";955;"0,05";"0,24";0;"955,29";
HGBS11;COMPRA;10;16/11/2022;"197,5";"1.975,00";"0,09";"0,49";0;"1.975,58";
NCHB11;COMPRA;90;14/11/2022;"10,16";"914,5";"0,04";"0,23";0;"914,77";
BRCO11;COMPRA;10;14/11/2022;"105,5";"1.055,00";"0,05";"0,26";0;"1.055,31";
RZAT11;COMPRA;10;14/11/2022;"96,45";"964,5";"0,05";"0,24";0;"964,79";
BTLG11;COMPRA;10;11/11/2022;"100,95";"1.009,50";"0,05";"0,25";0;"1.009,80";
BTLG11;COMPRA;10;10/11/2022;"101,25";"1.012,50";"0,05";"0,25";0;"1.012,80";
RZAT11;COMPRA;10;10/11/2022;"97,2";972;"0,04";"0,24";0;"972,28";
